Track,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,URL
DIAMONDS (ダイアモンド),PRINCESS PRINCESS,0.681,0.951,4,-7.777,1,0.0349,0.334,0.000673,0.276,0.857,111.071,audio_features,https://open.spotify.com/track/1oqoXgWdAtce5vp0mGlJ7C
淋しい熱帯魚,Wink,0.627,0.949,9,-5.388,0,0.0343,0.183,0.000141,0.0445,0.931,121.917,audio_features,https://open.spotify.com/track/3uBuBPPHoMVQp2GFCAGbDP
とんぼ,Tsuyoshi Nagabuchi,0.719,0.788,7,-5.785,1,0.027,0.249,0.0,0.117,0.65,109.906,audio_features,https://open.spotify.com/track/0ZoTz6KpGZuCRiZqeC4HnO
BE MY BABY,COMPLEX,0.583,0.964,9,-3.375,1,0.121,0.0485,1.72e-06,0.36,0.675,127.006,audio_features,https://open.spotify.com/track/2k3kCCpZ9ZGTYMJUSBlENJ
ANNIVERSARY ~ 無限にCALLING YOU,Yumi Matsutoya,0.653,0.721,5,-6.899,1,0.0238,0.106,0.00261,0.253,0.44,107.986,audio_features,https://open.spotify.com/track/21Mhxw8PyEiiMqz3DhdpWQ
夢の中へ,Yuki Saito,0.647,0.952,9,-8.968,0,0.0353,0.0218,0.885,0.282,0.969,129.981,audio_features,https://open.spotify.com/track/17VwsBRVp4qRQPUPmmLPBB
太陽のKomachi Angel,B'z,0.665,0.964,7,-4.211,1,0.0404,0.000219,2.19e-06,0.135,0.79,120.82,audio_features,https://open.spotify.com/track/0VautPaGJuzwHMo945JvLa
今すぐKiss Me,LINDBERG,0.481,0.796,4,-9.774,1,0.0495,0.0132,0.0,0.113,0.918,170.773,audio_features,https://open.spotify.com/track/6XRIhZzGGr4CPRdsecaXOG
浪漫飛行,Kome Kome Club,0.708,0.649,11,-11.854,1,0.0312,0.117,0.00515,0.145,0.969,137.213,audio_features,https://open.spotify.com/track/4lPEdvGVptFXUMk8DKMLnF
真夏の果実,サザンオールスターズ,0.466,0.541,2,-7.687,1,0.0447,0.825,0.00304,0.0903,0.436,201.295,audio_features,https://open.spotify.com/track/3AVLsBieDGotYuo5RPEL64
笑顔の行方 (ORIGINAL VERSION),DREAMS COME TRUE,0.56,0.774,5,-9.902,1,0.0337,0.00387,0.0,0.119,0.604,129.91,audio_features,https://open.spotify.com/track/2wjjKbqf8Zei1CAyZ78b1g
あー夏休み,TUBE,0.628,0.822,6,-7.71,0,0.0377,0.149,0.0,0.292,0.851,131.807,audio_features,https://open.spotify.com/track/3xGPfKACKGRjRJbgr8uMbS
恋しくて,BEGIN,0.282,0.408,9,-9.874,1,0.0286,0.304,0.000156,0.283,0.393,82.692,audio_features,https://open.spotify.com/track/21JW0G2xjGz68gDxNOnXa3
サイレント・イヴ,Midori Karashima,0.196,0.3,3,-7.619,1,0.0331,0.941,3.54e-05,0.238,0.125,78.774,audio_features,https://open.spotify.com/track/5YaftqJ1yV7Xgcf63gwrba
"恋とマシンガン -Young,Alive,in Love-",Flipper's Guitar,0.656,0.576,9,-9.807,1,0.0542,0.454,3.6e-06,0.445,0.684,121.38,audio_features,https://open.spotify.com/track/0M3gmV8wqB84IWG2BtFIso
壊れかけのRadio,Hideaki Tokunaga,0.624,0.545,4,-5.91,1,0.0279,0.641,0.0,0.0831,0.261,123.902,audio_features,https://open.spotify.com/track/4BXQ9BO9lNCfYaCFNCW5E4
ラブ・ストーリーは突然に,Kazumasa Oda,0.658,0.763,7,-4.375,1,0.029,0.00377,0.000486,0.819,0.53,113.557,audio_features,https://open.spotify.com/track/3A6uq9eWVRYnRWNakGJn5B
愛は勝つ,KAN,0.632,0.84,4,-5.229,1,0.0269,0.476,0.0,0.304,0.729,124.899,audio_features,https://open.spotify.com/track/7MqaQIHyo7Ud1QzDSmWpQ0
どんなときも。,Noriyuki Makihara,0.691,0.809,6,-7.417,1,0.0291,0.344,0.000479,0.0893,0.915,123.827,audio_features,https://open.spotify.com/track/4feDzcxtXRU8clyOluco5Y
あなたに会えてよかった,Kyoko Koizumi,0.676,0.856,4,-6.016,1,0.0306,0.0605,0.0,0.117,0.601,124.857,audio_features,https://open.spotify.com/track/0WyQzeO98cgIDJpXAWH2p7
WON'T BE LONG,Da Bubble Gum Brothers,0.671,0.888,10,-4.853,0,0.123,0.0164,0.00296,0.0378,0.663,103.783,audio_features,https://open.spotify.com/track/745Y2xbeGh56xF97j4Fz1N
I LOVE YOU,Yutaka Ozaki,0.536,0.357,9,-8.348,1,0.0276,0.125,0.0,0.0739,0.187,149.272,audio_features,https://open.spotify.com/track/0HMSTmDVXtCSauJvu8nnfs
DA・KA・RA,Maki Ohguro,0.709,0.937,7,-2.46,0,0.0536,0.188,0.0,0.298,0.532,122.974,audio_features,https://open.spotify.com/track/6CIVqJvWYAM2DW4LqW3WvX
君がいるだけで,Kome Kome Club,0.652,0.771,0,-6.138,1,0.0327,0.129,0.0,0.0942,0.656,120.869,audio_features,https://open.spotify.com/track/3gWJIQefaaSuOU6RJlDLm9
もう恋なんてしない,Noriyuki Makihara,0.731,0.809,1,-6.596,0,0.0243,0.649,0.0,0.276,0.887,105.043,audio_features,https://open.spotify.com/track/2dQ4alICWrgs9gyYUOWlEg
決戦は金曜日,DREAMS COME TRUE,0.728,0.661,0,-10.482,0,0.0275,0.0226,2.24e-06,0.157,0.888,125.041,audio_features,https://open.spotify.com/track/7iunyO2biewHVCt7ofOrtq
涙のキッス,サザンオールスターズ,0.573,0.787,0,-5.861,1,0.0268,0.409,6.4e-06,0.188,0.631,105.951,audio_features,https://open.spotify.com/track/7LiUm2lhAw55f51sYATpyZ
浅い眠り,中島みゆき,0.632,0.893,4,-8.727,0,0.0322,0.126,2.28e-05,0.0947,0.76,116.981,audio_features,https://open.spotify.com/track/18pLX997DVYHq7aKxy95H9
それが大事,Daijiman Brothers Band,0.718,0.818,0,-3.67,1,0.0315,0.433,0.0,0.268,0.958,119.073,audio_features,https://open.spotify.com/track/0a8J4Ep9K0U8SNDNmYLl6k
格好悪いふられ方,Senri Oe,0.732,0.939,8,-5.039,1,0.0285,0.487,0.000181,0.184,0.96,132.148,audio_features,https://open.spotify.com/track/7lHu3fWx7itEyaLIegpcQp
世界中の誰よりきっと,中山美穂 & WANDS,0.651,0.881,2,-3.861,1,0.0383,0.558,0.0,0.108,0.806,116.978,audio_features,https://open.spotify.com/track/5DEb6u4nukTgZh4fF9JNNx
夏の日の1993,class,0.584,0.717,1,-8.504,1,0.0281,0.242,0.0,0.0896,0.563,94.992,audio_features,https://open.spotify.com/track/1uH8pOgmQmyLybC0E4BIxD
Get Along Together -愛を贈りたいから-,Yasuhiro Yamane,0.472,0.466,11,-4.916,1,0.0302,0.671,0.0,0.154,0.172,144.07,audio_features,https://open.spotify.com/track/0zPgjySwnZa9R9Fh7vHVkS
愛のままにわがままに 僕は君だけを傷つけない,B'z,0.582,0.965,6,-3.573,0,0.066,0.155,0.0,0.329,0.595,120.039,audio_features,https://open.spotify.com/track/5aGMUGq5YmLY4Z3Kll4Xem
揺れる想い,ZARD,0.64,0.939,5,-3.567,1,0.0718,0.49,6.84e-06,0.191,0.473,121.966,audio_features,https://open.spotify.com/track/6c38IZ0hfPfe49qUTafiQy
Make-up Shadow - Remastered 2018,Yosui Inoue,0.65,0.934,5,-4.111,0,0.0336,0.385,0.0,0.269,0.769,136.003,audio_features,https://open.spotify.com/track/0PsLOhg92g0S9wGWT2qZyo
慟哭,Shizuka Kudo,0.645,0.889,1,-7.292,1,0.0313,0.0573,0.0,0.171,0.859,133.933,audio_features,https://open.spotify.com/track/1W0XDAaJDrCL50LOy7uL4E
サヨナラ,GAO,0.668,0.778,3,-6.915,1,0.0315,0.522,0.015,0.118,0.615,113.019,audio_features,https://open.spotify.com/track/5vXHIrLWv10nakJWLAyJH3
ロマンスの神様,Kohmi Hirose,0.667,0.802,1,-6.495,1,0.0349,0.149,1.84e-06,0.163,0.556,125.91,audio_features,https://open.spotify.com/track/0xYSgQHddr1lh6IfqWgn2W
大切なあなた,Seiko Matsuda,0.701,0.694,6,-8.289,1,0.0312,0.134,0.0,0.088,0.741,112.768,audio_features,https://open.spotify.com/track/1FaHIi6kRnNGJJNTIlASmf
innocent world,Mr.Children,0.612,0.664,4,-6.525,1,0.0267,0.158,0.0,0.278,0.662,119.822,audio_features,https://open.spotify.com/track/1MbgBrof1GjPcylNJeeO1x
空と君のあいだに,中島みゆき,0.59,0.874,6,-4.44,0,0.0297,0.181,2.71e-05,0.355,0.476,106.896,audio_features,https://open.spotify.com/track/29NdfvdZu1eymPW07pmpAd
恋しさと せつなさと 心強さと,Ryoko Shinohara,0.599,0.857,2,-8.378,1,0.0567,0.201,0.000595,0.112,0.662,129.945,audio_features,https://open.spotify.com/track/2gnw7ushUAnh0sfil88sL3
ラブリー,Ozawa Kenji,0.692,0.712,4,-7.643,1,0.119,0.112,0.0,0.0614,0.912,89.935,audio_features,https://open.spotify.com/track/3hssL0gevfZHITLLQ3BaS2
TRUE LOVE,Fumiya Fujii,0.668,0.355,1,-11.32,1,0.0254,0.00578,0.0137,0.0983,0.153,101.833,audio_features,https://open.spotify.com/track/0fF6StCPuAyFnENfLcWtiz
"Hello, my friend",Yumi Matsutoya,0.658,0.499,4,-7.836,1,0.0234,0.438,4.75e-05,0.0653,0.533,82.969,audio_features,https://open.spotify.com/track/41NIQxcwqfE4M4iJ6UQHFX
ただ泣きたくなるの,中山美穂,0.404,0.692,10,-5.701,1,0.0317,0.647,1.01e-05,0.339,0.636,173.868,audio_features,https://open.spotify.com/track/5yPj7ceaoE1y2HN33S8o6c
Tomorrow never knows,Mr.Children,0.637,0.485,0,-10.263,1,0.0245,0.173,0.0,0.122,0.403,109.035,audio_features,https://open.spotify.com/track/2CbDcSVFCbMSfLMoZiAFYN
人魚,NOKKO,0.315,0.353,0,-7.724,1,0.0301,0.733,0.143,0.0987,0.147,129.844,audio_features,https://open.spotify.com/track/65V6mbrrHTcrW4NduSvajz
OH MY LITTLE GIRL,Yutaka Ozaki,0.576,0.505,2,-7.282,1,0.0266,0.164,0.0,0.118,0.226,138.439,audio_features,https://open.spotify.com/track/4w8BWDyfDxlNLWKQaiUhmd
愛のために,Tamio Okuda,0.62,0.78,4,-8.174,1,0.0279,0.0103,0.0,0.0766,0.503,98.944,audio_features,https://open.spotify.com/track/4FcASwuOUEAfzgMEB8GJAD
TOMORROW,Mayo Okamoto,0.618,0.911,2,-2.831,0,0.0251,0.0518,8.62e-05,0.367,0.722,105.724,audio_features,https://open.spotify.com/track/1KZUhS8ADGo3DZHzuhKaQD
LOVE LOVE LOVE,DREAMS COME TRUE,0.466,0.341,1,-11.915,1,0.0272,0.504,0.0,0.126,0.284,83.863,audio_features,https://open.spotify.com/track/0kI1eqATzXs5ztZ0nJtQMa
WOW WAR TONIGHT〜時には起こせよムーヴメント〜 - TWO MILLION MIX,H Jungle With t,0.569,0.879,2,-6.56,1,0.0649,0.16,0.0,0.341,0.737,169.997,audio_features,https://open.spotify.com/track/19oxKZQilcf3pGhduW6TPg
"Hello,Again~昔からある場所~",My Little Lover,0.546,0.621,1,-8.48,0,0.0241,0.0101,0.000766,0.0974,0.488,99.028,audio_features,https://open.spotify.com/track/4QXpGTmnWwftsbcSVhBeAm
HELLO,Masaharu Fukuyama,0.515,0.847,4,-5.012,1,0.0344,0.0626,0.0,0.328,0.826,156.006,audio_features,https://open.spotify.com/track/5O1VtFNxDZe7fgJozYlhyw
